"name","acronym","link","cfpLink","impLink","source","rank","rating","fieldOfResearch","information","conferenceDates","year","location","cityStateProvince","country","continent","type","submissionDate","notificationDate","cameraReadyDate","registrationDate","otherDate","topics","publisher","summary","callForPapers"
"Australasian Symposium on Parallel and Distributed Computing (was AusGrid)","AusPDC","https://sites.google.com/monash.edu/auspdc2025","https://sites.google.com/monash.edu/auspdc2025/calls/call-for-papers","https://sites.google.com/monash.edu/auspdc2025","","","","","Conference dates: February 10 - 14, 2025
Year: 2025
Location: University of Queensland, Brisbane, Australia
City-State-Province: Brisbane, Queensland
Country: Australia
Continent: Oceania
Type: Offline
Paper/Tutorial/Demo proposal submissions due: December 1, 2024
Notification: December 25, 2024
Camera-ready full papers due: January 15, 2025
Topics: Parallel and Distributed Computing, Cloud Computing, Fog Computing, Edge Computing, Serverless Computing, FaaS, Quantum Computing, Microservice Application Management, Orchestration, Cluster Management, High-Performance Computing, Artificial Intelligence, Mobile Sensor Networks, Internet of Things, Distributed Stream Processing, Big Data Processing, Analytics, Virtualization, Containers, Unikernels, Orchestration, Security, Trust, Privacy, Large-Scale Data Management, Network Function Virtualization, Software-Defined Networks, Distributed Ledger Technologies, Blockchains, Service Computing, Workflow Management, Performance Evaluation, Modelling, Datacenters, Interconnection Networks, Performance Accelerators, Parallel Programming Models, Languages, Compilers, Operating Systems, Runtime Systems, e-Science, e-Health Applications","February 10 - 14, 2025","2025","University of Queensland, Brisbane, Australia","Brisbane, Queensland","Australia","Oceania","Offline","{""Paper/Tutorial/Demo proposal submissions due"":""December 1, 2024""}","{""Notification"":""December 25, 2024""}","{""Camera-ready full papers due"":""January 15, 2025""}","{}","{}","Parallel and Distributed Computing, Cloud Computing, Fog Computing, Edge Computing, Serverless Computing, FaaS, Quantum Computing, Microservice Application Management, Orchestration, Cluster Management, High-Performance Computing, Artificial Intelligence, Mobile Sensor Networks, Internet of Things, Distributed Stream Processing, Big Data Processing, Analytics, Virtualization, Containers, Unikernels, Orchestration, Security, Trust, Privacy, Large-Scale Data Management, Network Function Virtualization, Software-Defined Networks, Distributed Ledger Technologies, Blockchains, Service Computing, Workflow Management, Performance Evaluation, Modelling, Datacenters, Interconnection Networks, Performance Accelerators, Parallel Programming Models, Languages, Compilers, Operating Systems, Runtime Systems, e-Science, e-Health Applications","","The 23rd Australasian Symposium on Parallel and Distributed Computing (AusPDC 2025) will be held at the University of Queensland in Brisbane, Australia, from February 10-14, 2025, in conjunction with Australasian Computer Science Week (ACSW 2025).  The symposium features keynotes, technical paper presentations, demonstrations, tutorials, panel discussions, and industry presentations.","# AusPDC 2025: Call for Papers and Participation

The 23rd Australasian Symposium on Parallel and Distributed Computing (AusPDC 2025) will be held in conjunction with Australasian Computer Science Week (ACSW 2025) at the **University of Queensland in Brisbane, Australia, from February 10-14, 2025.**

## Scope

AusPDC covers a diverse array of topics within parallel and distributed computing. The 2025 event includes keynotes from prominent Australian researchers, invited technical paper presentations, demonstrations, tutorials, panel discussions, and industry presentations.

## Topics of Interest

Topics of interest for the symposium include (but are not limited to):

*   Cloud/Fog/Edge computing
*   Serverless computing and FaaS
*   Quantum Computing
*   Microservice application management and orchestration
*   Cluster management (e.g., container management systems, GPU cluster management)
*   High-performance computing
*   Artificial intelligence applied to distributed and parallel systems
*   Mobile, sensor networks
*   Internet of Things
*   Distributed stream processing
*   Big Data processing and analytics
*   Virtualization, containers, unik ernels, orchestration, and other enablers
*   Security, trust, and privacy in Clouds/Fog/Edge
*   Large-scale data management (e.g., storage, placement, replication)
*   Network function virtualization and software-defined networks
*   Distributed Ledger Technologies and Blockchains
*   Service computing and workflow management
*   Performance evaluation and modelling
*   Datacenter and Interconnection networks
*   Performance accelerators
*   Parallel programming models, languages, and compilers
*   Operating systems and runtime systems
*   e-Science and e-Health Applications

## Submission Guidelines

The proceedings of the symposium will be published by ACM in conjunction with ACSW 2025. Papers should be formatted in double columns according to ACM conference paper formatting guidelines (ACM SIG Proceedings Templates).

*   Submissions must be in English.
*   Submissions must not exceed 8 pages for full papers, and 2 pages for demo and tutorial proposals.
*   Submissions must be in PDF format.
*   Submissions must clearly state the problem being addressed, the goal of the work, the results achieved, and the relation to other work.
*   Submissions must be original contributions that have not been published previously, nor already submitted to other conferences or journals in parallel with this conference.
*   Authors must choose the appropriate track in the ACSW conference for their submission (AusPDC Track).
*   For demo and tutorial proposals, please ensure that you highlight this in the title of your paper (i.e., [Tutorial Proposal]: Title).
*   Papers are to be submitted via the ACSW 2025 Easy Chair Submission Site.

## Demonstrations and Tutorials

We invite submissions for one-hour tutorials or demos.

*   **Title:** Indicate if it's a tutorial or demo, e.g., [Tutorial Proposal]: Title.
*   **Abstract:** Brief overview (200 words max).
*   **Objectives:** Key takeaways for attendees.
*   **Technical Requirements:** Any needed equipment.
*   **Page limits:** 2 pages

## Important Dates

All dates refer to 23:59, Anywhere on Earth (AoE).

*   **Paper/Tutorial/Demo proposal submissions due:** December 1, 2024
*   **Notification:** December 25, 2024
*   **Camera-ready full papers due:** January 15, 2025
*   **Conference dates:** February 10 - 14, 2025"
"Advanced Visual Interfaces","AVI","https://avi2ch-24.di.unito.it/","None","None","","","","","Conference dates: June 4, 2024
Year: 2024
Location: Arenzano (Genoa), Italy
City-State-Province: Arenzano
Country: Italy
Continent: Europe
Type: Offline","June 4, 2024","2024","Arenzano (Genoa), Italy","Arenzano","Italy","Europe","Offline","{}","{}","{}","{}","{}","","","No summary available","No call for papers available"
"IEEE International Conference on Advanced Video and Signal Based Surveillance","AVSS","https://signalprocessingsociety.org/blog/avss-2024-2024-ieee-international-conference-advanced-video-and-signal-based-surveillance","None","None","","","","","Conference dates: July 15 - 16, 2024
Year: 2024
Location: Niagara Falls, Canada
City-State-Province: Niagara Falls, Ontario
Country: Canada
Continent: North America
Type: Offline
Conference Paper Submission Deadline: March 15, 2024
Topics: Video Surveillance, Signal-Based Surveillance","July 15 - 16, 2024","2024","Niagara Falls, Canada","Niagara Falls, Ontario","Canada","North America","Offline","{""Conference Paper Submission Deadline"":""March 15, 2024""}","{}","{}","{}","{}","Video Surveillance, Signal-Based Surveillance","","The 2024 IEEE International Conference on Advanced Video and Signal-Based Surveillance (AVSS 2024) was held on July 15-16, 2024, in Niagara Falls, Canada.  The conference focused on advanced video and signal-based surveillance techniques.","No call for papers available"
"IEEE Bioinformatics and Bioengineering","BIBE","https://www.icbibe.org/","https://www.icbibe.org/CFP","None","","","","","Conference dates: August 11 - 13, 2025
Year: 2025
Location: Guiyang, China
City-State-Province: Guiyang
Country: China
Continent: Asia
Type: Offline
Monthly Submission Due: April 25, 2025
Final Submission Due: July 10, 2025
Topics: Bioinformatics, Biomedical Engineering, Genomics, Proteomics, DNA sequence analysis, Medical sensor, Digital signal processing, Medical image processing
Publisher: VDE Verlag GmbH","August 11 - 13, 2025","2025","Guiyang, China","Guiyang","China","Asia","Offline","{""Monthly Submission Due"":""April 25, 2025"",""Final Submission Due"":""July 10, 2025""}","{}","{}","{}","{}","Bioinformatics, Biomedical Engineering, Genomics, Proteomics, DNA sequence analysis, Medical sensor, Digital signal processing, Medical image processing","VDE Verlag GmbH","The 8th International Conference on Biological Information and Biomedical Engineering (BIBE 2025) will be held from August 11-13, 2025, in Guiyang, China. The conference focuses on the fields of bioinformatics and biomedical engineering, aiming to provide a platform for exchanging and sharing the latest research, technological innovations, and theoretical developments.","No call for papers available"
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies","BDCAT","https://www.computer.org/conferences/ucc24-cfp","https://www.computer.org/conferences/ucc24-cfp","None","","","","","Conference dates: December 16 - 19, 2024
Year: 2024
Location: Sharjah, United Arab Emirates
Type: Offline
Original Paper Submission Deadline: September 20, 2024
Acceptance Notification: October 7, 2024
Camera Ready Papers Due: October 20, 2024
Topics: Big Data Computing, Applications, Technologies, Machine Learning, Data Mining, Data Science, Data Acquisition, Data Integration, Data Cleaning, Supervised Learning, Unsupervised Learning, Reinforcement Learning, Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks, Transformer, Natural Language Processing, Swarm Intelligence, Evolutionary Strategy, Model Training, Inference, Serving, Distributed Learning, Federated Learning, Parallel Learning Algorithms, Testing, Debugging, Monitoring, Fairness, Interpretability, Explainability, Specialized Hardware, Scalable Computing Models, Theories, Algorithms, MapReduce, Hadoop, Spark, Privacy, Security, Data Search, Information Retrieval, Extract/Transform/Load (ETL) Pipelines, In-Memory Systems, Platforms, Performance Evaluation, Storage Systems, Resource Management, Data Analytics on Edge Devices, Fault Tolerance, Reliability, Energy-Efficiency, Sustainability, Data Archival, Preservation, Internet of Things, Mobile Applications, Cyber-Physical Systems, Healthcare, Life Science, Physical Science, Engineering, Business Applications, Enterprise Applications, Social Networks, Scientific Case Studies, Cloud-Edge Continuum, Data Streaming, Batch Applications, Visual Analytics Algorithms, Graph Models, Context Models, Analytics Reasoning, Sense-making, Visual Representation, Interaction, Data Transformation, Presentation","December 16 - 19, 2024","2024","Sharjah, United Arab Emirates","","","","Offline","{""Original Paper Submission Deadline"":""September 20, 2024""}","{""Acceptance Notification"":""October 7, 2024""}","{""Camera Ready Papers Due"":""October 20, 2024""}","{}","{}","Big Data Computing, Applications, Technologies, Machine Learning, Data Mining, Data Science, Data Acquisition, Data Integration, Data Cleaning, Supervised Learning, Unsupervised Learning, Reinforcement Learning, Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks, Transformer, Natural Language Processing, Swarm Intelligence, Evolutionary Strategy, Model Training, Inference, Serving, Distributed Learning, Federated Learning, Parallel Learning Algorithms, Testing, Debugging, Monitoring, Fairness, Interpretability, Explainability, Specialized Hardware, Scalable Computing Models, Theories, Algorithms, MapReduce, Hadoop, Spark, Privacy, Security, Data Search, Information Retrieval, Extract/Transform/Load (ETL) Pipelines, In-Memory Systems, Platforms, Performance Evaluation, Storage Systems, Resource Management, Data Analytics on Edge Devices, Fault Tolerance, Reliability, Energy-Efficiency, Sustainability, Data Archival, Preservation, Internet of Things, Mobile Applications, Cyber-Physical Systems, Healthcare, Life Science, Physical Science, Engineering, Business Applications, Enterprise Applications, Social Networks, Scientific Case Studies, Cloud-Edge Continuum, Data Streaming, Batch Applications, Visual Analytics Algorithms, Graph Models, Context Models, Analytics Reasoning, Sense-making, Visual Representation, Interaction, Data Transformation, Presentation","","The 11th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies (BDCAT 2024) was held in Sharjah, United Arab Emirates between December 16 and 19, 2024, in conjunction with the 17th IEEE/ACM International Conference on Utility and Cloud Computing (UCC 2024).  The conference focused on big data computing, applications, and technologies, as well as related scaling data analysis.","# BDCAT 2024: Call for Papers

The 11th IEEE/ACM International Conference on Big Data Computing, Applications, and Technologies (BDCAT 2024) was held in **Sharjah, United Arab Emirates, from December 16-19, 2024**, in conjunction with the 17th IEEE/ACM International Conference on Utility and Cloud Computing (UCC 2024).

## Topics of Interest

Authors were invited to submit original, unpublished research manuscripts in all areas of Big Data computing, applications, and technologies, as well as on related scaling data analysis. Topics of interest included (but were not limited to):

**1. Machine Learning and Data Mining:**

*   Data Science Models and Approaches
*   Data Acquisition, Integration, Cleaning and Best Practices
*   Supervised, Unsupervised and Reinforcement Learning
*   Neural Networks, Convolution Neural Networks and Recurrent Neural Networks
*   Transformer and Natural Language Processing
*   Swarm Intelligence and Evolutionary Strategy
*   Efficient Model Training, Inference and Serving
*   Distributed, Federated and Parallel Learning Algorithms
*   Testing, Debugging and Monitoring
*   Fairness, Interpretability and Explainability
*   Specialized Hardware for Scaling

**2. Data Infrastructures and Platforms:**

*   Scalable Computing Models, Theories and Algorithms
*   Mapreduce: Hadoop and Spark
*   Privacy and Security over the Data Life Cycle
*   Data Search and Information Retrieval Techniques
*   Extract/Transform/Load (ETL) or ETL Pipelines
*   In-Memory Systems and Platforms
*   Performance Evaluation Reports
*   Storage Systems (including file systems, NoSQL, and RDBMS)
*   Resource Management Approaches
*   Data Analytics on Edge Devices
*   Fault Tolerance and Reliability
*   Energy-Efficiency and Sustainability
*   Data Archival and Preservation

**3. Scaling Data Applications:**

*   Data Applications for Internet of Things, Mobile Applications and Cyber-Physical Systems
*   Data Applications for Healthcare and Life Science (e.g., Genome Processing)
*   Data Applications for Physical Science and Engineering
*   Data Applications for Business and Enterprise Applications
*   Data Applications for Social Networks
*   Data Applications for Scientific Case Studies
*   Data Applications over the Cloud-Edge Continuum
*   Data Streaming and Batch Applications
*   Data Trends and Challenges

**4. Scaling Data Visualization:**

*   Visual Analytics Algorithms and Foundations
*   Graph and Context Models for Visualization
*   Analytics Reasoning and Sense-making
*   Visual Representation and Interaction
*   Data Transformation and Presentation

## Paper Submission

Submitted manuscripts had to represent original unpublished research that was not currently under review for any other conference or journal. Manuscripts were submitted in PDF format and may not exceed ten (10) IEEE-formatted *double-column* pages, including figures, tables, and references. All manuscripts underwent a double-blind peer-review process and were reviewed and judged on correctness, originality, technical strength, rigor in analysis, quality of results, quality of presentation, and interest and relevance to the conference attendees.

At least one author of each paper had to be registered for the conference in order for the paper to be published in the proceedings. The conference proceedings were published by IEEE and made available online via the IEEE Xplore Digital Library and ACM Digital Library.

## Important Dates

*   **Original Paper Submission Deadline:** September 20, 2024
*   **Acceptance Notification:** October 7, 2024
*   **Camera Ready Papers Due:** October 20, 2024
*   **Conference Date:** December 16-19, 2024"
"IEEE International Conference on Big Data","BigData","https://conferences.cis.um.edu.mo/ieeebigdata2025/","https://conferences.cis.um.edu.mo/ieeebigdata2025/call-for-papers","https://conferences.cis.um.edu.mo/ieeebigdata2025/","","","","","Conference dates: December 8 - 11, 2025
Year: 2025
Location: Macau SAR, China
City-State-Province: Macau
Country: China
Continent: Asia
Type: Offline
Topics: Big Data, Big Data Research, Big Data Development, Big Data Applications","December 8 - 11, 2025","2025","Macau SAR, China","Macau","China","Asia","Offline","{}","{}","{}","{}","{}","Big Data, Big Data Research, Big Data Development, Big Data Applications","","The 2025 IEEE International Conference on Big Data (IEEE BigData 2025) will be held from December 8-11, 2025, in Macau SAR, China.  The conference will provide a leading forum for disseminating the latest results in Big Data Research, Development, and Applications.","No call for papers available"
"International Conference in Business Process Management","BPM","https://www.bpm2025seville.org/","https://www.bpm2025seville.org/calls","https://www.bpm2025seville.org/calls","","","","","Conference dates: August 31 - September 5, 2025
Year: 2025
Location: Seville, Spain
City-State-Province: Seville
Country: Spain
Continent: Europe
Type: Offline
Topics: Business Process Management","August 31 - September 5, 2025","2025","Seville, Spain","Seville","Spain","Europe","Offline","{}","{}","{}","{}","{}","Business Process Management","","The 23rd International Conference on Business Process Management (BPM 2025) will be held in Seville, Spain, from August 31 to September 5, 2025.  This prestigious forum brings together leading thinkers, pioneering researchers, and industry leaders for a week of insightful talks, hands-on tutorials, and forward-thinking discussions.","No call for papers available"
"British Machine Vision Conference","BMVC","https://bmvc2024.org/","https://bmvc2024.org/call-for-papers","None","","","","","Conference dates: November 25 - 28, 2024
Year: 2024
Location: Glasgow, UK
City-State-Province: Glasgow
Country: United Kingdom
Continent: Europe
Type: Offline
Paper abstract and submission deadlines: February 13, 2024
Early-bird registration ends: September 30, 2024
Workshop proposal submission deadline: May 17, 2024
Conference schedule is available: October 14, 2024
The list of accepted workshops is now available: July 1, 2024
Reviewing Guidelines and AC guidelines are now out: April 29, 2024
Author Guidelines and Paper Submission guidelines are released: March 29, 2024
The call for workshops is now available: February 20, 2024
Topics: Machine vision, image processing, pattern recognition, computer vision","November 25 - 28, 2024","2024","Glasgow, UK","Glasgow","United Kingdom","Europe","Offline","{""Paper abstract and submission deadlines"":""February 13, 2024""}","{}","{}","{}","{""Early-bird registration ends"":""September 30, 2024"",""Workshop proposal submission deadline"":""May 17, 2024"",""Conference schedule is available"":""October 14, 2024"",""The list of accepted workshops is now available"":""July 1, 2024"",""Reviewing Guidelines and AC guidelines are now out"":""April 29, 2024"",""Author Guidelines and Paper Submission guidelines are released"":""March 29, 2024"",""The call for workshops is now available"":""February 20, 2024""}","Machine vision, image processing, pattern recognition, computer vision","","The British Machine Vision Conference (BMVC) is the British Machine Vision Association's (BMVA) annual conference on machine vision, image processing, and pattern recognition. BMVC 2024 was held from November 25th to 28th, 2024, in Glasgow, UK.","No call for papers available"
"International Conference on Broadband Communications, Networks and Systems","Broadnets","https://broadnets.eai-conferences.org/2025/","https://broadnets.eai-conferences.org/2025/call-for-papers","https://broadnets.eai-conferences.org/2025/","","","","","Conference dates: August 14 - 16, 2025
Year: 2025
Location: Sunyani, Ghana
City-State-Province: Sunyani
Country: Ghana
Continent: Africa
Type: Offline
submission deadline: April 15, 2025
notification deadline: May 10, 2025
camera ready deadline: June 14, 2025
Topics: Next-generation communication networks, Artificial intelligence-driven security mechanisms, Intelligent systems, 5G/6G networks, IoT-enabled smart systems, Speech and signal processing, Cybersecurity, Edge computing, Network architectures, Distributed computing, Digital twin technologies, Vehicular communication, Trust and privacy mechanisms, AI-driven anomaly detection
Publisher: Springer","August 14 - 16, 2025","2025","Sunyani, Ghana","Sunyani","Ghana","Africa","Offline","{""submission deadline"":""April 15, 2025""}","{""notification deadline"":""May 10, 2025""}","{""camera ready deadline"":""June 14, 2025""}","{}","{}","Next-generation communication networks, Artificial intelligence-driven security mechanisms, Intelligent systems, 5G/6G networks, IoT-enabled smart systems, Speech and signal processing, Cybersecurity, Edge computing, Network architectures, Distributed computing, Digital twin technologies, Vehicular communication, Trust and privacy mechanisms, AI-driven anomaly detection","Springer","The 16th International Conference on Broadband Communications, Networks, and Systems (Broadnets 2025) will be held in Sunyani, Ghana, from August 14-16, 2025. The conference focuses on cutting-edge research and technological advancements in next-generation communication networks, artificial intelligence-driven security mechanisms, and intelligent systems.","# Broadnets 2025: Call for Papers

The 16th International Conference on Broadband Communications, Networks, and Systems (Broadnets 2025) will be held from **August 14 - 16, 2025 in Sunyani, Ghana**.

## Focus

The conference focuses on cutting-edge research and technological advancements in next-generation communication networks, artificial intelligence-driven security mechanisms, and intelligent systems. It aims to provide a platform for researchers, industry professionals, and policymakers to explore innovative solutions in 5G/6G networks, IoT-enabled smart systems, speech and signal processing, cybersecurity, and edge computing.

## Key Areas of Interest

*   Network architectures
*   Distributed computing
*   Digital twin technologies
*   Vehicular communication
*   Trust and privacy mechanisms
*   AI-driven anomaly detection
*   Speech and signal processing techniques (secure communications, speech enhancement, audio analytics)
*   Cloud-to-things systems
*   Fog computing
*   AI-driven access control

## Publication

All registered papers will be submitted for publishing by Springer and made available through SpringerLink Digital Library. Proceedings will be submitted for inclusion in leading indexing services, such as Web of Science, Compendex, Scopus, DBLP, EU Digital Library, Google Scholar, IO-Port, MathSciNet, Inspec, and Zentralblatt MATH.

Authors of selected papers will be invited to submit an extended version to Springer Wireless Networks (WINET) Journal. All accepted authors are eligible to submit an extended version in a fast track of EAI Endorsed Transactions on Mobile Communications and Applications.

## Important Dates

*   **Full Paper Submission deadline:** April 15th, 2025
*   **Notification deadline:** May 10th, 2025
*   **Camera-ready deadline:** June 14th, 2025"
"International Conference on Automated Deduction","CADE","https://www.dhbw-stuttgart.de/cade-30/","None","https://www.dhbw-stuttgart.de/cade-30/","","","","","Conference dates: July 28 - August 2, 2025
Year: 2025
Location: Stuttgart, Germany
City-State-Province: Stuttgart
Country: Germany
Continent: Europe
Type: Offline
Abstract deadline: February 17, 2025
Submission deadline: February 24, 2025
Final version deadline: May 30, 2025
Notification: April 28, 2025
Rebuttal period: April 14 - 18, 2025
Main conference: July 28 - 31, 2025
Satellite events: August 1 - 2, 2025
Topics: Automated Deduction","July 28 - August 2, 2025","2025","Stuttgart, Germany","Stuttgart","Germany","Europe","Offline","{""Abstract deadline"":""February 17, 2025"",""Submission deadline"":""February 24, 2025"",""Final version deadline"":""May 30, 2025""}","{""Notification"":""April 28, 2025""}","{}","{}","{""Rebuttal period"":""April 14 - 18, 2025"",""Main conference"":""July 28 - 31, 2025"",""Satellite events"":""August 1 - 2, 2025""}","Automated Deduction","","The 30th International Conference on Automated Deduction (CADE-30) will take place from July 28th to August 2nd, 2025 in Stuttgart, Germany.  The conference program includes invited talks, paper presentations, workshops, tutorials, and system competitions. The Herbrand Award, Skolem Award(s), and Bill McCune PhD Award will also be presented.","No call for papers available"
"Body Sensor Networks","BSN","https://bsn.embs.org/2025/","https://bsn.embs.org/2025/contributors/","https://bsn.embs.org/2025/","","","","","Conference dates: November 3 - 5, 2025
Year: 2025
Location: Los Angeles, California, USA
City-State-Province: Los Angeles, California
Country: United States
Continent: North America
Type: Offline
Paper Submission Deadline: June 8, 2025
Abstract and Demo Submission Deadline: June 8, 2025
Late Breaking Abstract Deadline: August 10, 2025
Workshop Proposal Deadline: June 1, 2025
Paper Acceptance Notification: August 1, 2025
Abstract Acceptance Notification: August 1, 2025
Late Breaking Abstract Notification: August 24, 2025
Workshop Acceptance Notification: June 15, 2025
Camera-Ready Deadline: September 1, 2025
Topics: Body Sensor Networks, Digital Health, Sensors, Systems, Predictive Models, Data Analytics, Wearable Sensors, Implantable Sensors, Machine Learning, Deep Learning, Decision-Support Algorithms, Security, Privacy, Trust, Human-Centered Design, Agentic AI, LLMs, Computational Health
Publisher: IEEE","November 3 - 5, 2025","2025","Los Angeles, California, USA","Los Angeles, California","United States","North America","Offline","{""Paper Submission Deadline"":""June 8, 2025"",""Abstract and Demo Submission Deadline"":""June 8, 2025"",""Late Breaking Abstract Deadline"":""August 10, 2025"",""Workshop Proposal Deadline"":""June 1, 2025""}","{""Paper Acceptance Notification"":""August 1, 2025"",""Abstract Acceptance Notification"":""August 1, 2025"",""Late Breaking Abstract Notification"":""August 24, 2025"",""Workshop Acceptance Notification"":""June 15, 2025""}","{""Camera-Ready Deadline"":""September 1, 2025""}","{}","{}","Body Sensor Networks, Digital Health, Sensors, Systems, Predictive Models, Data Analytics, Wearable Sensors, Implantable Sensors, Machine Learning, Deep Learning, Decision-Support Algorithms, Security, Privacy, Trust, Human-Centered Design, Agentic AI, LLMs, Computational Health","IEEE","The IEEE-EMBS International Conference on Body Sensor Networks (BSN 2025) will be held in Los Angeles, California, USA, from November 3–5, 2025.  The theme is ""Computational Medicine: Expanding Health through Sensing and AI."" The conference will accept regular technical papers, demo or poster abstracts, and clinical abstracts.  Excellent papers may be invited for publication in the IEEE Open Journal of Engineering in Medicine and Biology.","# IEEE-EMBS BSN 2025: Call for Papers

The IEEE-EMBS International Conference on Body Sensor Networks (BSN 2025) will be held in **Los Angeles, California, USA, from November 3–5, 2025**.

The theme of BSN 2025 is **Computational Medicine: Expanding Health through Sensing and AI.**

BSN 2025 will bring together leaders and experts in academia, industry, healthcare, and non-profit organizations to provide a cross-disciplinary, highly selective, and single-track forum for cutting-edge research related to devices and sensors, hardware and software systems, predictive models, and data analytics in the healthcare/medical domains.

## Call for Submissions

IEEE-EMBS BSN 2025 will accept:

*   Regular 4-page technical papers
*   1-page demo or poster abstracts
*   1-page clinical abstracts

Excellent papers (e.g., Best Paper Award candidates) will be invited to extend their works for rapid review and publication in the partnering journal *IEEE Open Journal of Engineering in Medicine and Biology*.

## Topics of Interest

Topics of interest include, but are not limited to:

*   Novel digital health solutions (i.e., sensors and algorithms) for diagnosis, disease progress tracking, and self-management.
*   Sensors and systems for digital health, wellness, and athletics.
*   Conformable decoders: unintrusive, comfortable, self-powered sensors and systems.
*   Flexible, stretchable, and imperceptible electronics for sensors and systems.
*   Contact-less solutions for human sensing.
*   Power-optimization for implantable and wearable sensors and systems.
*   Wearable robotics systems for digital healthcare.
*   Signal processing, machine learning, deep learning, and decision-support algorithms.
*   Adaptive, personalized intervention systems by closing the loop between technologies and humans.
*   Security, privacy, and trust in digital health technologies.
*   Optimization and personalization for digital health technologies and outcomes.
*   Human-centered design for digital healthcare to address real-world stakeholder needs.
*   Emerging topics such as Agentic AI and LLMs for computational health.

## Important Dates

All deadlines are 11:59 pm AoE.

*   **Workshop Proposal Deadline:** June 1, 2025
*   **Workshop Acceptance Notification:** June 15, 2025
*   **Paper Submission Deadline:** June 8, 2025
*   **Abstract and Demo Submission Deadline:** June 8, 2025
*   **Paper Acceptance Notification:** August 1, 2025
*   **Abstract Acceptance Notification:** August 1, 2025
*   **Late Breaking Abstract Deadline:** August 10, 2025
*   **Late Breaking Abstract Notification:** August 24, 2025
*   **Camera-Ready Deadline:** September 1, 2025
*   **Conference:** November 3-5, 2025"
